Make,Model,Displacement,Year,Cylinders,Transmission,Drive,City MPG,Highway MPG,Fuel Type,Class
Toyota,4Runner 4WD,3.4,1999,6,Manual,Four-Wheel,15,17,R,SUV
Toyota,4Runner 4WD,4,2008,6,Manual,Four-Wheel,16,20,R,SUV
Toyota,4Runner 4WD,4.7,2008,8,Manual,Four-Wheel,14,17,R,SUV
Toyota,Camry,2.2,1999,4,Manual,Front-Wheel,21,29,R,Midsize
Toyota,Camry,2.2,1999,4,Manual,Front-Wheel,21,27,R,Midsize
Toyota,Camry,2.4,2008,4,Manual,Front-Wheel,21,31,R,Midsize
Toyota,Camry,2.4,2008,4,Manual,Front-Wheel,21,31,R,Midsize
Toyota,Camry,3,1999,6,Manual,Front-Wheel,18,26,R,Midsize
Toyota,Camry,3,1999,6,Manual,Front-Wheel,18,26,R,Midsize
Toyota,Camry,3.5,2008,6,Manual,Front-Wheel,19,28,R,Midsize
Toyota,Camry Solara,2.2,1999,4,Manual,Front-Wheel,21,27,R,Compact
Toyota,Camry Solara,2.2,1999,4,Manual,Front-Wheel,21,29,R,Compact
Toyota,Camry Solara,2.4,2008,4,Manual,Front-Wheel,21,31,R,Compact
Toyota,Camry Solara,2.4,2008,4,Manual,Front-Wheel,22,31,R,Compact
Toyota,Camry Solara,3,1999,6,Manual,Front-Wheel,18,26,R,Compact
Toyota,Camry Solara,3,1999,6,Manual,Front-Wheel,18,26,R,Compact
Toyota,Camry Solara,3.3,2008,6,Manual,Front-Wheel,18,27,R,Compact
Toyota,Corolla,1.8,1999,4,Manual,Front-Wheel,24,30,R,Compact
Toyota,Corolla,1.8,1999,4,Manual,Front-Wheel,24,33,R,Compact
Toyota,Corolla,1.8,1999,4,Manual,Front-Wheel,26,35,R,Compact
Toyota,Corolla,1.8,2008,4,Manual,Front-Wheel,28,37,R,Compact
Toyota,Corolla,1.8,2008,4,Manual,Front-Wheel,26,35,R,Compact
Toyota,Land Cruiser Wagon 4WD,4.7,1999,8,Manual,Four-Wheel,11,15,R,SUV
Toyota,Land Cruiser Wagon 4WD,5.7,2008,8,Manual,Four-Wheel,13,18,R,SUV
Toyota,Toyota Tacoma 4WD,2.7,1999,4,Manual,Four-Wheel,15,20,R,Pickup
Toyota,Toyota Tacoma 4WD,2.7,1999,4,Manual,Four-Wheel,16,20,R,Pickup
Toyota,Toyota Tacoma 4WD,2.7,2008,4,Manual,Four-Wheel,17,22,R,Pickup
Toyota,Toyota Tacoma 4WD,3.4,1999,6,Manual,Four-Wheel,15,17,R,Pickup
Toyota,Toyota Tacoma 4WD,3.4,1999,6,Manual,Four-Wheel,15,19,R,Pickup
Toyota,Toyota Tacoma 4WD,4,2008,6,Manual,Four-Wheel,15,18,R,Pickup
Toyota,Toyota Tacoma 4WD,4,2008,6,Manual,Four-Wheel,16,20,R,Pickup
Volkswagen,GTI,2,1999,4,Manual,Front-Wheel,21,29,R,Compact
Volkswagen,GTI,2,1999,4,Manual,Front-Wheel,19,26,R,Compact
Volkswagen,GTI,2,2008,4,Manual,Front-Wheel,21,29,P,Compact
Volkswagen,GTI,2,2008,4,Manual,Front-Wheel,22,29,P,Compact
Volkswagen,GTI,2.8,1999,6,Manual,Front-Wheel,17,24,R,Compact
Volkswagen,Jetta,1.9,1999,4,Manual,Front-Wheel,33,44,D,Compact
Volkswagen,Jetta,2,1999,4,Manual,Front-Wheel,21,29,R,Compact
Volkswagen,Jetta,2,1999,4,Manual,Front-Wheel,19,26,R,Compact
Volkswagen,Jetta,2,2008,4,Manual,Front-Wheel,22,29,P,Compact
Volkswagen,Jetta,2,2008,4,Manual,Front-Wheel,21,29,P,Compact
Volkswagen,Jetta,2.5,2008,5,Manual,Front-Wheel,21,29,R,Compact
Volkswagen,Jetta,2.5,2008,5,Manual,Front-Wheel,21,29,R,Compact
Volkswagen,Jetta,2.8,1999,6,Manual,Front-Wheel,16,23,R,Compact
Volkswagen,Jetta,2.8,1999,6,Manual,Front-Wheel,17,24,R,Compact
Volkswagen,New Beetle,1.9,1999,4,Manual,Front-Wheel,35,44,D,Subcompact
Volkswagen,New Beetle,1.9,1999,4,Manual,Front-Wheel,29,41,D,Subcompact
Volkswagen,New Beetle,2,1999,4,Manual,Front-Wheel,21,29,R,Subcompact
Volkswagen,New Beetle,2,1999,4,Manual,Front-Wheel,19,26,R,Subcompact
Volkswagen,New Beetle,2.5,2008,5,Manual,Front-Wheel,20,28,R,Subcompact
Volkswagen,New Beetle,2.5,2008,5,Manual,Front-Wheel,20,29,R,Subcompact
Volkswagen,Passat,1.8,1999,4,Manual,Front-Wheel,21,29,P,Midsize
Volkswagen,Passat,1.8,1999,4,Manual,Front-Wheel,18,29,P,Midsize
Volkswagen,Passat,2,2008,4,Manual,Front-Wheel,19,28,P,Midsize
Volkswagen,Passat,2,2008,4,Manual,Front-Wheel,21,29,P,Midsize
Volkswagen,Passat,2.8,1999,6,Manual,Front-Wheel,16,26,P,Midsize
Volkswagen,Passat,2.8,1999,6,Manual,Front-Wheel,18,26,P,Midsize
Volkswagen,Passat,3.6,2008,6,Manual,Front-Wheel,17,26,P,Midsize
