Mammal,Genus,Vore,Order,Conservation Status,Total Sleep (Hrs),REM Sleep (Hrs),Sleep Cycle (Hrs),Awake (Hrs),Brain Weight (Kg),Body Weight (Kg)
Rabbit,Oryctolagus,Herbivore,Lagomorpha,Domesticated,8.4,0.9,0.416666667,15.6,0.0121,2.5
Roe deer,Capreolus,Herbivore,Artiodactyla,LC,3,NA,NA,21,0.0982,14.8
Round-tailed muskrat,Neofiber,Herbivore,Rodentia,NT,14.6,NA,NA,9.4,NA,0.266
Sheep,Ovis,Herbivore,Artiodactyla,Domesticated,3.8,0.6,NA,20.2,0.175,55.5
Thirteen-lined ground squirrel,Spermophilus,Herbivore,Rodentia,LC,13.8,3.4,0.216666667,10.2,0.004,0.101
Three-toed sloth,Bradypus,Herbivore,Pilosa,NA,14.4,2.2,0.766666667,9.6,NA,3.85
Tree hyrax,Dendrohyrax,Herbivore,Hyracoidea,LC,5.3,0.5,NA,18.7,0.0123,2.95
Vole ,Microtus,Herbivore,Rodentia,NA,12.8,NA,NA,11.2,NA,0.035
Western american chipmunk,Eutamias,Herbivore,Rodentia,NA,14.9,NA,NA,9.1,NA,0.071
Big brown bat,Eptesicus,Insectivore,Chiroptera,LC,19.7,3.9,0.116666667,4.3,3e-4,0.023
Eastern american mole,Scalopus,Insectivore,Soricomorpha,LC,8.4,2.1,0.166666667,15.6,0.0012,0.075
Giant armadillo,Priodontes,Insectivore,Cingulata,EN,18.1,6.1,NA,5.9,0.081,60
Little brown bat,Myotis,Insectivore,Chiroptera,NA,19.9,2,0.2,4.1,2.5e-4,0.01
Short-nosed echidna,Tachyglossus,Insectivore,Monotremata,NA,8.6,NA,NA,15.4,0.025,4.5
Deer mouse,Peromyscus,Navore,Rodentia,NA,11.5,NA,NA,12.5,NA,0.021
Desert hedgehog,Paraechinus,Navore,Erinaceomorpha,LC,10.3,2.7,NA,13.7,0.0024,0.55
Mole rat,Spalax,Navore,Rodentia,NA,10.6,2.4,NA,13.4,0.003,0.122
Musk shrew,Suncus,Navore,Soricomorpha,NA,12.8,2,0.183333333,11.2,3.3e-4,0.048
Phalanger,Phalanger,Navore,Diprotodontia,NA,13.7,1.8,NA,10.3,0.0114,1.62
Rock hyrax,Procavia,Navore,Hyracoidea,LC,5.4,0.5,NA,18.6,0.021,3.6
Vesper mouse,Calomys,Navore,Rodentia,NA,7,NA,NA,17,NA,0.045
African giant pouched rat,Cricetomys,Omnivore,Rodentia,NA,8.3,2,NA,15.7,0.0066,1
African striped mouse,Rhabdomys,Omnivore,Rodentia,NA,8.7,NA,NA,15.3,NA,0.044
Baboon,Papio,Omnivore,Primates,NA,9.4,1,0.666666667,14.6,0.18,25.235
Chimpanzee,Pan,Omnivore,Primates,NA,9.7,1.4,1.416666667,14.3,0.44,52.2
European hedgehog,Erinaceus,Omnivore,Erinaceomorpha,LC,10.1,3.5,0.283333333,13.9,0.0035,0.77
Galago,Galago,Omnivore,Primates,NA,9.8,1.1,0.55,14.2,0.005,0.2
Greater short-tailed shrew,Blarina,Omnivore,Soricomorpha,LC,14.9,2.3,0.133333333,9.1,2.9e-4,0.019
Grivet,Cercopithecus,Omnivore,Primates,LC,10,0.7,NA,14,NA,4.75
Human,Homo,Omnivore,Primates,NA,8,1.9,1.5,16,1.32,62
Lesser short-tailed shrew,Cryptotis,Omnivore,Soricomorpha,LC,9.1,1.4,0.15,14.9,1.4e-4,0.005
Macaque,Macaca,Omnivore,Primates,NA,10.1,1.2,0.75,13.9,0.179,6.8
North American Opossum,Didelphis,Omnivore,Didelphimorphia,LC,18,4.9,0.333333333,6,0.0063,1.7
Owl monkey,Aotus,Omnivore,Primates,NA,17,1.8,NA,7,0.0155,0.48
Patas monkey,Erythrocebus,Omnivore,Primates,LC,10.9,1.1,NA,13.1,0.115,10
Pig,Sus,Omnivore,Artiodactyla,Domesticated,9.1,2.4,0.5,14.9,0.18,86.25
Potto,Perodicticus,Omnivore,Primates,LC,11,NA,NA,13,NA,1.1
Squirrel monkey,Saimiri,Omnivore,Primates,NA,9.6,1.4,NA,14.4,0.02,0.743
Star-nosed mole,Condylura,Omnivore,Soricomorpha,LC,10.3,2.2,NA,13.7,0.001,0.06
Tenrec,Tenrec,Omnivore,Afrosoricida,NA,15.6,2.3,NA,8.4,0.0026,0.9
Tree shrew,Tupaia,Omnivore,Scandentia,NA,8.9,2.6,0.233333333,15.1,0.0025,0.104
