Iris,Species,Sepal Length,Sepal Width,Petal Length,Petal Width
41,Versicolor,5.5,2.6,4.4,1.2
42,Versicolor,6.1,3,4.6,1.4
43,Versicolor,5.8,2.6,4,1.2
44,Versicolor,5,2.3,3.3,1
45,Versicolor,5.6,2.7,4.2,1.3
46,Versicolor,5.7,3,4.2,1.2
47,Versicolor,5.7,2.9,4.2,1.3
48,Versicolor,6.2,2.9,4.3,1.3
49,Versicolor,5.1,2.5,3,1.1
50,Versicolor,5.7,2.8,4.1,1.3
1,Virginica,6.3,3.3,6,2.5
2,Virginica,5.8,2.7,5.1,1.9
3,Virginica,7.1,3,5.9,2.1
4,Virginica,6.3,2.9,5.6,1.8
5,Virginica,6.5,3,5.8,2.2
6,Virginica,7.6,3,6.6,2.1
7,Virginica,4.9,2.5,4.5,1.7
8,Virginica,7.3,2.9,6.3,1.8
9,Virginica,6.7,2.5,5.8,1.8
10,Virginica,7.2,3.6,6.1,2.5
11,Virginica,6.5,3.2,5.1,2
12,Virginica,6.4,2.7,5.3,1.9
13,Virginica,6.8,3,5.5,2.1
14,Virginica,5.7,2.5,5,2
15,Virginica,5.8,2.8,5.1,2.4
16,Virginica,6.4,3.2,5.3,2.3
17,Virginica,6.5,3,5.5,1.8
18,Virginica,7.7,3.8,6.7,2.2
19,Virginica,7.7,2.6,6.9,2.3
20,Virginica,6,2.2,5,1.5
21,Virginica,6.9,3.2,5.7,2.3
22,Virginica,5.6,2.8,4.9,2
23,Virginica,7.7,2.8,6.7,2
24,Virginica,6.3,2.7,4.9,1.8
25,Virginica,6.7,3.3,5.7,2.1
26,Virginica,7.2,3.2,6,1.8
27,Virginica,6.2,2.8,4.8,1.8
28,Virginica,6.1,3,4.9,1.8
29,Virginica,6.4,2.8,5.6,2.1
30,Virginica,7.2,3,5.8,1.6
31,Virginica,7.4,2.8,6.1,1.9
32,Virginica,7.9,3.8,6.4,2
33,Virginica,6.4,2.8,5.6,2.2
34,Virginica,6.3,2.8,5.1,1.5
35,Virginica,6.1,2.6,5.6,1.4
36,Virginica,7.7,3,6.1,2.3
37,Virginica,6.3,3.4,5.6,2.4
38,Virginica,6.4,3.1,5.5,1.8
39,Virginica,6,3,4.8,1.8
40,Virginica,6.9,3.1,5.4,2.1
41,Virginica,6.7,3.1,5.6,2.4
42,Virginica,6.9,3.1,5.1,2.3
43,Virginica,5.8,2.7,5.1,1.9
44,Virginica,6.8,3.2,5.9,2.3
45,Virginica,6.7,3.3,5.7,2.5
46,Virginica,6.7,3,5.2,2.3
47,Virginica,6.3,2.5,5,1.9
48,Virginica,6.5,3,5.2,2
49,Virginica,6.2,3.4,5.4,2.3
50,Virginica,5.9,3,5.1,1.8
