Year,City,State,City & State,Month,Date,Total Sales,Total Value,Median Price,Total Listings,Months to Sell All
2000,Austin,Texas,"Austin, TX",October,2000-10-01,1524,300952544,150100,4100,2.6
2000,Austin,Texas,"Austin, TX",November,2000-11-01,1245,244873204,148000,4114,2.7
2000,Austin,Texas,"Austin, TX",December,2000-12-01,1330,262408360,149900,4005,2.6
2000,Bay Area,Texas,"Bay Area, TX",January,2000-01-01,244,29322659,100700,1766,4.3
2000,Bay Area,Texas,"Bay Area, TX",February,2000-02-01,375,48295141,110400,1817,4.4
2000,Bay Area,Texas,"Bay Area, TX",March,2000-03-01,391,48779462,113400,1830,4.5
2000,Bay Area,Texas,"Bay Area, TX",April,2000-04-01,421,52943752,107000,1845,4.6
2000,Bay Area,Texas,"Bay Area, TX",May,2000-05-01,533,70983815,115900,1827,4.4
2000,Bay Area,Texas,"Bay Area, TX",June,2000-06-01,561,75802627,122800,1874,4.5
2000,Bay Area,Texas,"Bay Area, TX",July,2000-07-01,449,59472007,114900,1876,4.6
2000,Bay Area,Texas,"Bay Area, TX",August,2000-08-01,471,66461908,119100,1869,4.6
2000,Bay Area,Texas,"Bay Area, TX",September,2000-09-01,397,51414827,111100,1842,4.5
2000,Bay Area,Texas,"Bay Area, TX",October,2000-10-01,376,46689918,108800,1904,4.7
2000,Bay Area,Texas,"Bay Area, TX",November,2000-11-01,322,42727036,116200,1863,4.6
2000,Bay Area,Texas,"Bay Area, TX",December,2000-12-01,344,45935784,118500,1795,4.4
2000,Beaumont,Texas,"Beaumont, TX",January,2000-01-01,97,10100000,82100,876,6.1
2000,Beaumont,Texas,"Beaumont, TX",February,2000-02-01,134,12405000,81500,896,6.3
2000,Beaumont,Texas,"Beaumont, TX",March,2000-03-01,159,15915000,82700,898,6.2
2000,Beaumont,Texas,"Beaumont, TX",April,2000-04-01,153,15600000,83800,872,6
2000,Beaumont,Texas,"Beaumont, TX",May,2000-05-01,170,18300000,94400,937,6.5
2000,Beaumont,Texas,"Beaumont, TX",June,2000-06-01,162,17410000,87800,947,6.5
2000,Beaumont,Texas,"Beaumont, TX",July,2000-07-01,173,19095000,85000,951,6.5
2000,Beaumont,Texas,"Beaumont, TX",August,2000-08-01,180,16920000,78800,984,6.7
2000,Beaumont,Texas,"Beaumont, TX",September,2000-09-01,152,16450000,94400,1023,7.1
2000,Beaumont,Texas,"Beaumont, TX",October,2000-10-01,117,12570000,89500,1048,7.2
2000,Beaumont,Texas,"Beaumont, TX",November,2000-11-01,140,16190000,85300,980,6.7
2000,Beaumont,Texas,"Beaumont, TX",December,2000-12-01,144,14050000,79300,942,6.3
2000,Brazoria County,Texas,"Brazoria County, TX",January,2000-01-01,55,5245000,74400,512,5.9
2000,Brazoria County,Texas,"Brazoria County, TX",February,2000-02-01,76,6690000,82500,423,4.8
2000,Brazoria County,Texas,"Brazoria County, TX",March,2000-03-01,95,8895000,80500,467,5.4
2000,Brazoria County,Texas,"Brazoria County, TX",April,2000-04-01,87,8315000,81900,470,5.4
2000,Brazoria County,Texas,"Brazoria County, TX",May,2000-05-01,121,12630000,85300,470,5.3
2000,Brazoria County,Texas,"Brazoria County, TX",June,2000-06-01,110,12215000,85400,460,5.1
2000,Brazoria County,Texas,"Brazoria County, TX",July,2000-07-01,116,14095000,88800,451,5
2000,Brazoria County,Texas,"Brazoria County, TX",August,2000-08-01,97,11085000,97500,442,4.9
2000,Brazoria County,Texas,"Brazoria County, TX",September,2000-09-01,84,8075000,84500,438,4.9
2000,Brazoria County,Texas,"Brazoria County, TX",October,2000-10-01,85,8180000,75000,438,4.9
2000,Brazoria County,Texas,"Brazoria County, TX",November,2000-11-01,59,6180000,78900,410,4.6
2000,Brazoria County,Texas,"Brazoria County, TX",December,2000-12-01,75,8650000,85000,410,4.6
2000,Brownsville,Texas,"Brownsville, TX",January,2000-01-01,NA,NA,NA,400,9.1
2000,Brownsville,Texas,"Brownsville, TX",February,2000-02-01,40,3390000,66700,368,8.1
2000,Brownsville,Texas,"Brownsville, TX",March,2000-03-01,41,3530000,67500,431,9.7
2000,Brownsville,Texas,"Brownsville, TX",April,2000-04-01,23,1260000,55800,425,10
2000,Brownsville,Texas,"Brownsville, TX",May,2000-05-01,53,4725000,80500,423,9.9
2000,Brownsville,Texas,"Brownsville, TX",June,2000-06-01,64,6020000,84400,400,9.1
2000,Brownsville,Texas,"Brownsville, TX",July,2000-07-01,39,3440000,63800,375,8.7
2000,Brownsville,Texas,"Brownsville, TX",August,2000-08-01,62,6125000,83300,332,7.4
2000,Brownsville,Texas,"Brownsville, TX",September,2000-09-01,50,4180000,70000,363,8.1
2000,Brownsville,Texas,"Brownsville, TX",October,2000-10-01,38,3980000,76000,450,10.2
2000,Brownsville,Texas,"Brownsville, TX",November,2000-11-01,41,3695000,83900,381,8.5
2000,Brownsville,Texas,"Brownsville, TX",December,2000-12-01,35,3355000,77500,417,9.4
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",January,2000-01-01,61,5615000,77900,498,4.2
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",February,2000-02-01,69,7300000,89500,534,4.6
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",March,2000-03-01,108,13600000,113300,561,4.8
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",April,2000-04-01,107,12555000,102800,573,5
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",May,2000-05-01,165,19195000,102800,585,5.1
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",June,2000-06-01,186,20270000,95600,585,5
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",July,2000-07-01,160,20680000,110800,588,5.3
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",August,2000-08-01,176,20515000,94100,568,5
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",September,2000-09-01,93,12130000,113200,598,5.2
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",October,2000-10-01,64,8375000,108600,572,5
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",November,2000-11-01,77,9920000,119000,571,5
2000,Bryan-College Station,Texas,"Bryan-College Station, TX",December,2000-12-01,90,10670000,106200,486,4.3
2000,Collin County,Texas,"Collin County, TX",January,2000-01-01,464,94788821,158700,2844,4
2000,Collin County,Texas,"Collin County, TX",February,2000-02-01,668,128636804,152300,2950,4
2000,Collin County,Texas,"Collin County, TX",March,2000-03-01,849,166190923,156600,3092,4.2
2000,Collin County,Texas,"Collin County, TX",April,2000-04-01,847,165262688,159500,3124,4.2
2000,Collin County,Texas,"Collin County, TX",May,2000-05-01,1031,204977080,167600,3206,4.2
2000,Collin County,Texas,"Collin County, TX",June,2000-06-01,1075,211016981,167600,3305,4.3
2000,Collin County,Texas,"Collin County, TX",July,2000-07-01,1007,204537519,169700,3242,4.2
2000,Collin County,Texas,"Collin County, TX",August,2000-08-01,969,193039110,164000,3156,4
2000,Collin County,Texas,"Collin County, TX",September,2000-09-01,797,156116915,162400,3274,4.1
2000,Collin County,Texas,"Collin County, TX",October,2000-10-01,804,161510049,170500,3306,4.1
2000,Collin County,Texas,"Collin County, TX",November,2000-11-01,745,154976371,168700,3169,3.8
2000,Collin County,Texas,"Collin County, TX",December,2000-12-01,744,153922156,166700,3206,3.8
2000,Corpus Christi,Texas,"Corpus Christi, TX",January,2000-01-01,182,17665000,78500,2510,9.3
2000,Corpus Christi,Texas,"Corpus Christi, TX",February,2000-02-01,219,20240000,78700,2534,9.4
2000,Corpus Christi,Texas,"Corpus Christi, TX",March,2000-03-01,351,36255000,85500,2591,9.4
2000,Corpus Christi,Texas,"Corpus Christi, TX",April,2000-04-01,288,28915000,80000,2631,9.6
2000,Corpus Christi,Texas,"Corpus Christi, TX",May,2000-05-01,317,34565000,90200,2651,9.7
2000,Corpus Christi,Texas,"Corpus Christi, TX",June,2000-06-01,339,37750000,93600,2632,9.6
2000,Corpus Christi,Texas,"Corpus Christi, TX",July,2000-07-01,287,31185000,90700,2687,9.9
2000,Corpus Christi,Texas,"Corpus Christi, TX",August,2000-08-01,398,40670000,85400,2232,8
2000,Corpus Christi,Texas,"Corpus Christi, TX",September,2000-09-01,307,31300000,86100,2529,8.9
2000,Corpus Christi,Texas,"Corpus Christi, TX",October,2000-10-01,274,26645000,82600,2471,8.5
2000,Corpus Christi,Texas,"Corpus Christi, TX",November,2000-11-01,259,25415411,NA,2051,7
2000,Corpus Christi,Texas,"Corpus Christi, TX",December,2000-12-01,220,24130000,90000,2360,8.2
2000,Dallas,Texas,"Dallas, TX",January,2000-01-01,2286,375389865,124400,13316,3.7
2000,Dallas,Texas,"Dallas, TX",February,2000-02-01,3247,555124812,127700,13495,3.7
2000,Dallas,Texas,"Dallas, TX",March,2000-03-01,4244,702148377,128500,13752,3.7
2000,Dallas,Texas,"Dallas, TX",April,2000-04-01,3977,667331427,132000,13752,3.7
2000,Dallas,Texas,"Dallas, TX",May,2000-05-01,4545,783197806,137100,14018,3.7
2000,Dallas,Texas,"Dallas, TX",June,2000-06-01,4738,846254912,138800,14392,3.8
2000,Dallas,Texas,"Dallas, TX",July,2000-07-01,4276,763793916,139600,14705,3.9
2000,Dallas,Texas,"Dallas, TX",August,2000-08-01,4373,770735708,134500,14607,3.9
2000,Dallas,Texas,"Dallas, TX",September,2000-09-01,3654,643046932,136000,15109,4
2000,Dallas,Texas,"Dallas, TX",October,2000-10-01,3601,626302634,134600,15212,4
2000,Dallas,Texas,"Dallas, TX",November,2000-11-01,3407,589401171,133200,14565,3.8
2000,Dallas,Texas,"Dallas, TX",December,2000-12-01,3098,554774879,138700,13762,3.6
2000,Denton County,Texas,"Denton County, TX",January,2000-01-01,313,50391510,138700,2023,4.4
2000,Denton County,Texas,"Denton County, TX",February,2000-02-01,423,60625344,130600,2085,4.5
2000,Denton County,Texas,"Denton County, TX",March,2000-03-01,570,95662001,142100,2168,4.6
2000,Denton County,Texas,"Denton County, TX",April,2000-04-01,529,86276146,140100,2192,4.6
2000,Denton County,Texas,"Denton County, TX",May,2000-05-01,639,103684441,143500,2221,4.6
2000,Denton County,Texas,"Denton County, TX",June,2000-06-01,677,119130134,152700,2209,4.5
2000,Denton County,Texas,"Denton County, TX",July,2000-07-01,638,113432631,156200,2160,4.4
2000,Denton County,Texas,"Denton County, TX",August,2000-08-01,618,106079394,143500,2135,4.2
2000,Denton County,Texas,"Denton County, TX",September,2000-09-01,488,84282473,145000,2270,4.4
2000,Denton County,Texas,"Denton County, TX",October,2000-10-01,460,78878528,146300,2238,4.3
2000,Denton County,Texas,"Denton County, TX",November,2000-11-01,422,68324540,138800,2165,4.2
2000,Denton County,Texas,"Denton County, TX",December,2000-12-01,372,64140494,150000,2058,4
2000,El Paso,Texas,"El Paso, TX",January,2000-01-01,306,31525000,82100,2512,5.8
2000,El Paso,Texas,"El Paso, TX",February,2000-02-01,346,32300000,76600,2572,5.9
2000,El Paso,Texas,"El Paso, TX",March,2000-03-01,492,47505000,77100,2549,5.8
2000,El Paso,Texas,"El Paso, TX",April,2000-04-01,382,37915000,79400,2525,5.9
2000,El Paso,Texas,"El Paso, TX",May,2000-05-01,459,43335000,80100,2552,5.9
2000,El Paso,Texas,"El Paso, TX",June,2000-06-01,486,47880000,83200,NA,NA
2000,El Paso,Texas,"El Paso, TX",July,2000-07-01,422,42925000,82600,2685,6.4
2000,El Paso,Texas,"El Paso, TX",August,2000-08-01,538,53800000,81700,3396,8
2000,El Paso,Texas,"El Paso, TX",September,2000-09-01,382,36775000,78300,2661,6.3
2000,El Paso,Texas,"El Paso, TX",October,2000-10-01,392,40535000,81900,2704,6.5
2000,El Paso,Texas,"El Paso, TX",November,2000-11-01,412,41830000,84300,2704,6.5
2000,El Paso,Texas,"El Paso, TX",December,2000-12-01,492,45465000,80400,2426,5.7
2000,Fort Bend,Texas,"Fort Bend, TX",January,2000-01-01,343,52031964,129000,2181,3.8
2000,Fort Bend,Texas,"Fort Bend, TX",February,2000-02-01,466,66803684,123100,2262,3.9
2000,Fort Bend,Texas,"Fort Bend, TX",March,2000-03-01,657,102595686,125100,2307,3.9
2000,Fort Bend,Texas,"Fort Bend, TX",April,2000-04-01,593,93906626,132900,2404,4.1
2000,Fort Bend,Texas,"Fort Bend, TX",May,2000-05-01,735,115043495,129800,2510,4.2
2000,Fort Bend,Texas,"Fort Bend, TX",June,2000-06-01,790,131697099,140500,2614,4.4
2000,Fort Bend,Texas,"Fort Bend, TX",July,2000-07-01,753,124163901,136700,2689,4.5
2000,Fort Bend,Texas,"Fort Bend, TX",August,2000-08-01,717,123742572,138400,2744,4.6
2000,Fort Bend,Texas,"Fort Bend, TX",September,2000-09-01,593,101289086,139900,2808,4.7
2000,Fort Bend,Texas,"Fort Bend, TX",October,2000-10-01,547,87434242,130900,2824,4.7
2000,Fort Bend,Texas,"Fort Bend, TX",November,2000-11-01,519,81629621,133200,2704,4.5
2000,Fort Bend,Texas,"Fort Bend, TX",December,2000-12-01,541,91108799,140200,2603,4.3
2000,Fort Worth,Texas,"Fort Worth, TX",January,2000-01-01,325,33417427,79200,2170,4.2
2000,Fort Worth,Texas,"Fort Worth, TX",February,2000-02-01,469,42978548,75000,2251,4.3
2000,Fort Worth,Texas,"Fort Worth, TX",March,2000-03-01,588,57458826,79300,2247,4.3
2000,Fort Worth,Texas,"Fort Worth, TX",April,2000-04-01,487,50344886,82900,2226,4.3
2000,Fort Worth,Texas,"Fort Worth, TX",May,2000-05-01,630,67131123,81700,2193,4.2
2000,Fort Worth,Texas,"Fort Worth, TX",June,2000-06-01,648,70773279,85900,2212,4.2
2000,Fort Worth,Texas,"Fort Worth, TX",July,2000-07-01,548,57460916,85100,2362,4.5
2000,Fort Worth,Texas,"Fort Worth, TX",August,2000-08-01,638,71524686,87600,2391,4.5
2000,Fort Worth,Texas,"Fort Worth, TX",September,2000-09-01,524,58065223,89000,2519,4.8
2000,Fort Worth,Texas,"Fort Worth, TX",October,2000-10-01,539,57992200,85300,2573,4.8
2000,Fort Worth,Texas,"Fort Worth, TX",November,2000-11-01,521,56157896,88300,2468,4.6
2000,Fort Worth,Texas,"Fort Worth, TX",December,2000-12-01,463,49177284,85500,2248,4.2
2000,Galveston,Texas,"Galveston, TX",January,2000-01-01,37,4555000,95000,636,9.1
2000,Galveston,Texas,"Galveston, TX",February,2000-02-01,54,7360000,100000,510,7.3
2000,Galveston,Texas,"Galveston, TX",March,2000-03-01,80,9595000,98300,493,7.1
2000,Galveston,Texas,"Galveston, TX",April,2000-04-01,82,11105000,111100,524,7.3
2000,Galveston,Texas,"Galveston, TX",May,2000-05-01,89,10185000,89200,529,7.2
2000,Galveston,Texas,"Galveston, TX",June,2000-06-01,100,13550000,108600,528,7.3
2000,Galveston,Texas,"Galveston, TX",July,2000-07-01,85,10870000,99000,505,7.1
2000,Galveston,Texas,"Galveston, TX",August,2000-08-01,92,12520000,96200,477,6.7
2000,Galveston,Texas,"Galveston, TX",September,2000-09-01,58,7610000,104000,474,6.6
2000,Galveston,Texas,"Galveston, TX",October,2000-10-01,75,11270000,118800,463,6.4
2000,Galveston,Texas,"Galveston, TX",November,2000-11-01,53,6720000,102000,471,6.5
2000,Galveston,Texas,"Galveston, TX",December,2000-12-01,59,7135000,93000,455,6.3
2000,Garland,Texas,"Garland, TX",January,2000-01-01,147,13211361,85200,531,2.3
2000,Garland,Texas,"Garland, TX",February,2000-02-01,201,19476267,88600,494,2.1
2000,Garland,Texas,"Garland, TX",March,2000-03-01,284,28469389,87100,464,1.9
2000,Garland,Texas,"Garland, TX",April,2000-04-01,255,25212040,92200,439,1.8
2000,Garland,Texas,"Garland, TX",May,2000-05-01,280,30127104,95400,448,1.8
2000,Garland,Texas,"Garland, TX",June,2000-06-01,302,30847197,92600,460,1.9
2000,Garland,Texas,"Garland, TX",July,2000-07-01,268,28022295,94000,482,2
2000,Garland,Texas,"Garland, TX",August,2000-08-01,277,28925155,94100,458,1.9
2000,Garland,Texas,"Garland, TX",September,2000-09-01,198,20628552,95500,479,2
2000,Garland,Texas,"Garland, TX",October,2000-10-01,227,22872567,91100,473,2
2000,Garland,Texas,"Garland, TX",November,2000-11-01,212,21070967,93700,430,1.8
2000,Garland,Texas,"Garland, TX",December,2000-12-01,185,19032017,96600,411,1.7
2000,Harlingen,Texas,"Harlingen, TX",January,2000-01-01,31,3910000,87500,644,24.9
2000,Harlingen,Texas,"Harlingen, TX",February,2000-02-01,35,3435000,83800,699,26
2000,Harlingen,Texas,"Harlingen, TX",March,2000-03-01,22,2120000,77500,630,24.4
2000,Harlingen,Texas,"Harlingen, TX",April,2000-04-01,21,2240000,81700,682,27.3
2000,Harlingen,Texas,"Harlingen, TX",May,2000-05-01,30,2350000,67500,650,26.2
2000,Harlingen,Texas,"Harlingen, TX",June,2000-06-01,21,3135000,95000,NA,NA
2000,Harlingen,Texas,"Harlingen, TX",July,2000-07-01,9,1110000,87500,719,30.8
2000,Harlingen,Texas,"Harlingen, TX",August,2000-08-01,38,3125000,63300,850,35.8
2000,Harlingen,Texas,"Harlingen, TX",September,2000-09-01,14,1565000,95000,714,31.2
2000,Harlingen,Texas,"Harlingen, TX",October,2000-10-01,37,3655000,90800,832,34.2
2000,Harlingen,Texas,"Harlingen, TX",November,2000-11-01,30,3460000,85000,805,31.6
2000,Harlingen,Texas,"Harlingen, TX",December,2000-12-01,20,1605000,75000,811,31.6
2000,Houston,Texas,"Houston, TX",January,2000-01-01,2653,381805283,102500,16768,3.9
2000,Houston,Texas,"Houston, TX",February,2000-02-01,3687,536456803,110300,16933,3.9
2000,Houston,Texas,"Houston, TX",March,2000-03-01,4733,709112659,109500,17058,3.9
2000,Houston,Texas,"Houston, TX",April,2000-04-01,4364,649712779,110800,17716,4.1
2000,Houston,Texas,"Houston, TX",May,2000-05-01,5215,809459231,112700,18461,4.2
2000,Houston,Texas,"Houston, TX",June,2000-06-01,5655,887396592,117900,18959,4.3
2000,Houston,Texas,"Houston, TX",July,2000-07-01,5009,770284031,118300,19391,4.4
2000,Houston,Texas,"Houston, TX",August,2000-08-01,5134,800032008,114600,19534,4.5
2000,Houston,Texas,"Houston, TX",September,2000-09-01,4262,671716256,115900,19558,4.5
2000,Houston,Texas,"Houston, TX",October,2000-10-01,4068,621419904,112400,19752,4.5
2000,Houston,Texas,"Houston, TX",November,2000-11-01,3729,571270375,115200,19190,4.4
2000,Houston,Texas,"Houston, TX",December,2000-12-01,3950,632500396,119300,18296,4.2
2000,Irving,Texas,"Irving, TX",January,2000-01-01,69,8366542,95000,291,3
2000,Irving,Texas,"Irving, TX",February,2000-02-01,84,9262770,90800,296,3
2000,Irving,Texas,"Irving, TX",March,2000-03-01,97,12145882,97200,290,3
2000,Irving,Texas,"Irving, TX",April,2000-04-01,113,13050938,96000,308,3.1
2000,Irving,Texas,"Irving, TX",May,2000-05-01,121,14780301,98300,283,2.9
2000,Irving,Texas,"Irving, TX",June,2000-06-01,126,15372612,100000,287,2.9
2000,Irving,Texas,"Irving, TX",July,2000-07-01,87,11584342,99000,319,3.3
2000,Irving,Texas,"Irving, TX",August,2000-08-01,119,16098214,98600,310,3.2
2000,Irving,Texas,"Irving, TX",September,2000-09-01,90,11207186,99400,311,3.2
2000,Irving,Texas,"Irving, TX",October,2000-10-01,105,13988673,97700,321,3.3
2000,Irving,Texas,"Irving, TX",November,2000-11-01,94,11618648,101000,311,3.1
2000,Irving,Texas,"Irving, TX",December,2000-12-01,79,9502970,103700,300,3
2000,Kerrville,Texas,"Kerrville, TX",January,2000-01-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",February,2000-02-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",March,2000-03-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",April,2000-04-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",May,2000-05-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",June,2000-06-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",July,2000-07-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",August,2000-08-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",September,2000-09-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",October,2000-10-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",November,2000-11-01,NA,NA,NA,NA,NA
2000,Kerrville,Texas,"Kerrville, TX",December,2000-12-01,NA,NA,NA,NA,NA
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",January,2000-01-01,101,7595000,68000,1327,8.6
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",February,2000-02-01,124,8945000,66700,1311,8.5
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",March,2000-03-01,175,12325000,65900,1360,8.7
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",April,2000-04-01,169,12710000,69300,1414,8.9
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",May,2000-05-01,162,12760000,70000,1522,9.7
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",June,2000-06-01,207,17875000,79600,1447,9.2
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",July,2000-07-01,189,15785000,75600,1412,9
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",August,2000-08-01,197,15450000,73800,1449,9.1
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",September,2000-09-01,174,13570000,72800,1447,9
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",October,2000-10-01,142,11190000,73800,1502,9.3
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",November,2000-11-01,154,12075000,73200,1485,9.1
2000,Killeen-Fort Hood,Texas,"Killeen-Fort Hood, TX",December,2000-12-01,112,8810000,72600,1485,9.3
2000,Laredo,Texas,"Laredo, TX",January,2000-01-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",February,2000-02-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",March,2000-03-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",April,2000-04-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",May,2000-05-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",June,2000-06-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",July,2000-07-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",August,2000-08-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",September,2000-09-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",October,2000-10-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",November,2000-11-01,NA,NA,NA,NA,NA
2000,Laredo,Texas,"Laredo, TX",December,2000-12-01,NA,NA,NA,NA,NA
2000,Longview-Marshall,Texas,"Longview-Marshall, TX",January,2000-01-01,73,6170000,68100,1054,8.1
2000,Longview-Marshall,Texas,"Longview-Marshall, TX",February,2000-02-01,100,10120000,85700,1090,8.4
2000,Longview-Marshall,Texas,"Longview-Marshall, TX",March,2000-03-01,135,13520000,81100,1079,8.4
2000,Longview-Marshall,Texas,"Longview-Marshall, TX",April,2000-04-01,138,13865000,78700,1078,8.2
2000,Longview-Marshall,Texas,"Longview-Marshall, TX",May,2000-05-01,141,13910000,82700,1075,8.3
