Date,Year,Month,Population,Personal Consumption Expenditures,psavert,Median Unemployment Time (Weeks),Unemployed
1974-07-01,1974,July,213854000,937900000000,12.8,5.7,5063000
1974-08-01,1974,August,214042000,954800000000,12.1,5,5022000
1974-09-01,1974,September,214246000,955100000000,12.9,5.3,5437000
1974-10-01,1974,October,214451000,959200000000,13.4,5.5,5523000
1974-11-01,1974,November,214625000,956200000000,13.8,5.2,6140000
1974-12-01,1974,December,214782000,961800000000,14,5.7,6636000
1975-01-01,1975,January,214931000,975600000000,13.2,6.3,7501000
1975-02-01,1975,February,215065000,989400000000,12.5,7.1,7520000
1975-03-01,1975,March,215198000,990600000000,12.7,7.2,7978000
1975-04-01,1975,April,215353000,995000000000,14.2,8.7,8210000
1975-05-01,1975,May,215523000,1018900000000,17.3,9.4,8433000
1975-06-01,1975,June,215768000,1026800000000,14.3,8.8,8220000
1975-07-01,1975,July,215973000,1039800000000,12.6,8.6,8127000
1975-08-01,1975,August,216195000,1047000000000,13,9.2,7928000
1975-09-01,1975,September,216393000,1054800000000,13,9.2,7923000
1975-10-01,1975,October,216587000,1060900000000.0001,13.4,8.6,7897000
1975-11-01,1975,November,216771000,1075800000000,12.7,9.5,7794000
1975-12-01,1975,December,216931000,1092099999999.9999,12,9,7744000
1976-01-01,1976,January,217095000,1107100000000,11.7,9,7534000
1976-02-01,1976,February,217249000,1107700000000,12.3,8.2,7326000
1976-03-01,1976,March,217381000,1114900000000,12.2,8.7,7230000
1976-04-01,1976,April,217528000,1125400000000,11.7,8.2,7330000
1976-05-01,1976,May,217685000,1122700000000,12.3,8.3,7053000
1976-06-01,1976,June,217861000,1140500000000,11.4,7.8,7322000
1976-07-01,1976,July,218035000,1149600000000,11.7,7.7,7490000
1976-08-01,1976,August,218233000,1158000000000,11.7,7.9,7518000
1976-09-01,1976,September,218440000,1168800000000,11.4,7.8,7380000
1976-10-01,1976,October,218644000,1176800000000,11.1,7.7,7430000
1976-11-01,1976,November,218834000,1189000000000,11.4,8.4,7620000
1976-12-01,1976,December,219006000,1211500000000,10.6,8,7545000
1977-01-01,1977,January,219179000,1215000000000,10.6,7.5,7280000
1977-02-01,1977,February,219344000,1231300000000,9.3,7.2,7443000
1977-03-01,1977,March,219504000,1238300000000,10.5,7.2,7307000
1977-04-01,1977,April,219684000,1247300000000,10.5,7.3,7059000
1977-05-01,1977,May,219859000,1257100000000,10.3,7.9,6911000
1977-06-01,1977,June,220046000,1263600000000,10.6,6.2,7134000
1977-07-01,1977,July,220239000,1280500000000,10.5,7.1,6829000
1977-08-01,1977,August,220458000,1285700000000,10.9,7,6925000
1977-09-01,1977,September,220688000,1294500000000,11.1,6.7,6751000
1977-10-01,1977,October,220904000,1311400000000,11,6.9,6763000
1977-11-01,1977,November,221109000,1327000000000,11.2,7,6815000
1977-12-01,1977,December,221303000,1336000000000,11.4,6.8,6386000
1978-01-01,1978,January,221477000,1329500000000,11.9,6.5,6489000
1978-02-01,1978,February,221629000,1355100000000,11.1,6.7,6318000
1978-03-01,1978,March,221792000,1377500000000,11,6.2,6337000
1978-04-01,1978,April,221991000,1396400000000,10.8,6.1,6180000
1978-05-01,1978,May,222176000,1412000000000,10.3,5.7,6127000
1978-06-01,1978,June,222379000,1425800000000,10,6,6028000
1978-07-01,1978,July,222585000,1426800000000,10.9,5.8,6309000
1978-08-01,1978,August,222805000,1447000000000,10.5,5.8,6080000
1978-09-01,1978,September,223053000,1452900000000,10.6,5.6,6125000
1978-10-01,1978,October,223271000,1466900000000,10.7,5.9,5947000
1978-11-01,1978,November,223477000,1480600000000,10.5,5.5,6077000
1978-12-01,1978,December,223670000,1496500000000,10.4,5.6,6228000
1979-01-01,1979,January,223865000,1502400000000,11.1,5.9,6109000
1979-02-01,1979,February,224053000,1517800000000,11.1,5.9,6173000
1979-03-01,1979,March,224235000,1531200000000,11.2,5.9,6109000
1979-04-01,1979,April,224438000,1538400000000,11,5.4,6069000
1979-05-01,1979,May,224632000,1558800000000,10.3,5.6,5840000
1979-06-01,1979,June,224843000,1575700000000,9.9,5.6,5959000
1979-07-01,1979,July,225055000,1586100000000,10.6,5.9,5996000
1979-08-01,1979,August,225295000,1615600000000,9.7,4.8,6320000
1979-09-01,1979,September,225547000,1633900000000,9.4,5.5,6190000
1979-10-01,1979,October,225801000,1641600000000,9.7,5.5,6296000
1979-11-01,1979,November,226027000,1657300000000,9.7,5.3,6238000
1979-12-01,1979,December,226243000,1666300000000,10.1,5.7,6325000
1980-01-01,1980,January,226451000,1697300000000,9.9,5.3,6683000
1980-02-01,1980,February,226656000,1701400000000,10.1,5.8,6702000
1980-03-01,1980,March,226849000,1708200000000,10.2,6,6729000
1980-04-01,1980,April,227061000,1695200000000,11.3,5.8,7358000
1980-05-01,1980,May,227251000,1700100000000,11.4,5.7,7984000
1980-06-01,1980,June,227522000,1718800000000,11.2,6.4,8098000
1980-07-01,1980,July,227726000,1747100000000,11.3,7,8363000
1980-08-01,1980,August,227953000,1763800000000,11.3,7.5,8281000
1980-09-01,1980,September,228186000,1780500000000,11.7,7.7,8021000
1980-10-01,1980,October,228417000,1817100000000,11.3,7.5,8088000
1980-11-01,1980,November,228612000,1826800000000,11.6,7.7,8023000
1980-12-01,1980,December,228779000,1851700000000,11.4,7.5,7718000
1981-01-01,1981,January,228937000,1870000000000,10.9,7.4,8071000
1981-02-01,1981,February,229071000,1884200000000,10.8,7.1,8051000
1981-03-01,1981,March,229224000,1902900000000,10.8,7.1,7982000
1981-04-01,1981,April,229403000,1904400000000,10.9,7.4,7869000
1981-05-01,1981,May,229575000,1913800000000,11,6.9,8174000
1981-06-01,1981,June,229761000,1934500000000,10.8,6.6,8098000
1981-07-01,1981,July,229966000,1942100000000,12.3,7.1,7863000
1981-08-01,1981,August,230187000,1966600000000,12,7.2,8036000
1981-09-01,1981,September,230412000,1965500000000,12.4,6.8,8230000
1981-10-01,1981,October,230641000,1963900000000,13,6.8,8646000
1981-11-01,1981,November,230822000,1970600000000,13.2,6.9,9029000
1981-12-01,1981,December,230989000,1988800000000,12.5,6.9,9267000
1982-01-01,1982,January,231157000,1997100000000,12.7,7.1,9397000
1982-02-01,1982,February,231313000,2021200000000,12.1,7.5,9705000
1982-03-01,1982,March,231470000,2024100000000,12.2,7.7,9895000
1982-04-01,1982,April,231645000,2026300000000,12.9,8.1,10244000
1982-05-01,1982,May,231809000,2044500000000,12.3,8.5,10335000
1982-06-01,1982,June,231992000,2048100000000,12.3,9.5,10538000
1982-07-01,1982,July,232188000,2072199999999.9998,12.5,8.5,10849000
1982-08-01,1982,August,232392000,2080100000000,12.6,8.7,10881000
1982-09-01,1982,September,232599000,2104600000000,11.8,9.5,11217000
1982-10-01,1982,October,232816000,2125800000000.0002,11.3,9.7,11529000
1982-11-01,1982,November,232993000,2149300000000.0002,10.9,10,11938000
1982-12-01,1982,December,233160000,2161600000000,10.9,10.2,12051000
1983-01-01,1983,January,233322000,2174000000000,11.1,11.1,11534000
1983-02-01,1983,February,233473000,2177000000000,11.1,9.8,11545000
1983-03-01,1983,March,233613000,2202800000000,10.6,10.4,11408000
1983-04-01,1983,April,233781000,2226400000000,10.3,10.9,11268000
1983-05-01,1983,May,233922000,2245900000000,9.9,12.3,11154000
1983-06-01,1983,June,234118000,2276000000000,9.1,11.3,11246000
1983-07-01,1983,July,234307000,2304400000000,9.6,10.1,10548000
1983-08-01,1983,August,234501000,2320400000000,9.2,9.3,10623000
1983-09-01,1983,September,234701000,2334900000000,9.6,9.3,10282000
1983-10-01,1983,October,234907000,2357600000000,9.7,9.4,9887000
1983-11-01,1983,November,235078000,2366300000000,10.3,9.3,9499000
1983-12-01,1983,December,235235000,2393600000000,10.1,8.7,9331000
1984-01-01,1984,January,235385000,2419400000000,10,9.1,9008000
1984-02-01,1984,February,235527000,2403500000000,11.7,8.3,8791000
1984-03-01,1984,March,235675000,2431600000000,11.5,8.3,8746000
1984-04-01,1984,April,235839000,2457500000000,11.5,8.2,8762000
1984-05-01,1984,May,235993000,2474500000000,11.1,9.1,8456000
1984-06-01,1984,June,236160000,2495600000000,11.1,7.5,8226000
1984-07-01,1984,July,236348000,2494600000000,11.6,7.5,8537000
1984-08-01,1984,August,236549000,2512200000000,11.8,7.3,8519000
1984-09-01,1984,September,236760000,2533800000000,11.8,7.6,8367000
1984-10-01,1984,October,236976000,2531300000000,11.7,7.2,8381000
1984-11-01,1984,November,237159000,2571400000000,10.9,7.2,8198000
1984-12-01,1984,December,237316000,2582600000000,11.2,7.3,8358000
1985-01-01,1985,January,237468000,2618800000000,10.3,6.8,8423000
1985-02-01,1985,February,237602000,2640800000000,9.1,7.1,8321000
1985-03-01,1985,March,237732000,2648500000000,8.7,7.1,8339000
1985-04-01,1985,April,237900000,2659500000000,9.9,6.9,8395000
1985-05-01,1985,May,238074000,2696400000000,11.1,6.9,8302000
1985-06-01,1985,June,238270000,2689400000000,9.6,6.6,8460000
1985-07-01,1985,July,238466000,2715700000000,9.1,6.9,8513000
1985-08-01,1985,August,238679000,2752100000000,8.2,7.1,8196000
1985-09-01,1985,September,238898000,2794700000000,7.3,6.9,8248000
1985-10-01,1985,October,239113000,2755800000000,9.1,7.1,8298000
1985-11-01,1985,November,239307000,2771100000000,9,7,8128000
1985-12-01,1985,December,239477000,2811300000000,8.6,6.8,8138000
1986-01-01,1986,January,239638000,2827100000000,8.6,6.7,7795000
1986-02-01,1986,February,239788000,2820200000000,9.3,6.9,8402000
1986-03-01,1986,March,239928000,2823600000000,9.9,6.8,8383000
1986-04-01,1986,April,240094000,2835200000000,9.7,6.7,8364000
1986-05-01,1986,May,240271000,2857500000000,9.3,6.8,8439000
1986-06-01,1986,June,240459000,2861700000000,9.4,7,8508000
1986-07-01,1986,July,240651000,2881200000000,9.3,6.9,8319000
1986-08-01,1986,August,240854000,2898600000000,9,7.1,8135000
1986-09-01,1986,September,241068000,2971800000000,7.2,7.4,8310000
1986-10-01,1986,October,241274000,2932900000000,8.4,7,8243000
1986-11-01,1986,November,241467000,2928400000000,8.8,7.1,8159000
1986-12-01,1986,December,241620000,2997100000000,7,7.1,7883000
1987-01-01,1987,January,241784000,2935500000000,9.7,6.9,7892000
1987-02-01,1987,February,241930000,3001700000000,8.5,6.6,7865000
1987-03-01,1987,March,242079000,3013300000000,8.5,6.6,7862000
1987-04-01,1987,April,242252000,3038800000000,4.5,7.1,7542000
1987-05-01,1987,May,242423000,3048400000000,8.2,6.6,7574000
1987-06-01,1987,June,242608000,3072800000000,7.7,6.5,7398000
1987-07-01,1987,July,242804000,3094700000000,7.5,6.5,7268000
1987-08-01,1987,August,243012000,3130800000000,7.2,6.4,7261000
1987-09-01,1987,September,243223000,3126500000000,7.6,6,7102000
1987-10-01,1987,October,243446000,3134500000000,8.3,6.3,7227000
1987-11-01,1987,November,243639000,3144200000000,8.5,6.2,7035000
1987-12-01,1987,December,243809000,3174100000000,8.7,6,6936000
1988-01-01,1988,January,243981000,3213700000000,8.1,6.2,6953000
1988-02-01,1988,February,244131000,3221400000000,8.6,6.3,6929000
1988-03-01,1988,March,244279000,3260500000000,8.2,6.4,6876000
1988-04-01,1988,April,244445000,3263000000000,8.8,5.9,6601000
1988-05-01,1988,May,244610000,3293600000000,8.4,5.9,6779000
1988-06-01,1988,June,244806000,3318500000000,8.4,5.8,6546000
1988-07-01,1988,July,245021000,3342700000000,8.6,6.1,6605000
1988-08-01,1988,August,245240000,3368000000000,8.4,5.9,6843000
1988-09-01,1988,September,245464000,3375000000000,8.9,5.7,6604000
1988-10-01,1988,October,245693000,3413700000000,8.6,5.6,6568000
1988-11-01,1988,November,245884000,3430200000000,8.4,5.7,6537000
1988-12-01,1988,December,246056000,3459700000000,8.3,5.9,6518000
1989-01-01,1989,January,246224000,3483700000000,8.5,5.6,6682000
1989-02-01,1989,February,246378000,3488000000000,9,5.4,6359000
1989-03-01,1989,March,246530000,3498800000000,9.5,5.4,6205000
1989-04-01,1989,April,246721000,3543000000000,8.4,5.4,6468000
1989-05-01,1989,May,246906000,3551800000000,8.1,5.3,6375000
1989-06-01,1989,June,247114000,3566600000000,8.2,5.4,6577000
1989-07-01,1989,July,247342000,3585700000000,8.2,5.6,6495000
1989-08-01,1989,August,247573000,3620600000000,7.6,5,6511000
1989-09-01,1989,September,247816000,3621900000000,8.1,4.9,6590000
1989-10-01,1989,October,248067000,3633600000000,8.5,4.9,6630000
1989-11-01,1989,November,248281000,3643300000000,8.6,4.8,6725000
1989-12-01,1989,December,248479000,3684200000000,7.8,4.9,6667000
1990-01-01,1990,January,248659000,3730700000000,8,5.1,6752000
1990-02-01,1990,February,248827000,3728200000000,8.6,5.3,6651000
1990-03-01,1990,March,249012000,3754900000000,8.3,5.1,6598000
1990-04-01,1990,April,249306000,3770000000000,8.8,4.8,6797000
1990-05-01,1990,May,249565000,3775800000000,8.7,5.2,6742000
1990-06-01,1990,June,249849000,3804500000000,8.6,5.2,6590000
1990-07-01,1990,July,250132000,3821700000000,8.7,5.4,6922000
1990-08-01,1990,August,250439000,3848300000000,8.1,5.4,7188000
1990-09-01,1990,September,250751000,3870100000000,8.1,5.6,7368000
1990-10-01,1990,October,251057000,3870600000000,7.8,5.8,7459000
1990-11-01,1990,November,251346000,3871900000000,7.9,5.7,7764000
1990-12-01,1990,December,251626000,3861300000000,8.8,5.9,7901000
1991-01-01,1991,January,251889000,3841000000000,9.3,6,8015000
1991-02-01,1991,February,252135000,3866700000000,8.8,6.2,8265000
1991-03-01,1991,March,252372000,3913000000000,8,6.7,8586000
1991-04-01,1991,April,252643000,3907100000000,8.6,6.6,8439000
1991-05-01,1991,May,252913000,3933200000000,8.4,6.4,8736000
1991-06-01,1991,June,253207000,3940500000000,8.9,6.9,8692000
1991-07-01,1991,July,253493000,3966000000000,8.2,7,8586000
1991-08-01,1991,August,253807000,3969100000000,8.6,7.3,8666000
1991-09-01,1991,September,254126000,3984700000000,8.8,6.8,8722000
1991-10-01,1991,October,254435000,3976000000000,9.3,7.2,8842000
1991-11-01,1991,November,254718000,4003600000000,9,7.5,8931000
1991-12-01,1991,December,254964000,4020500000000,9.7,7.8,9198000
1992-01-01,1992,January,255214000,4084700000000,9.4,8.1,9283000
1992-02-01,1992,February,255448000,4099500000000,9.8,8.2,9454000
1992-03-01,1992,March,255703000,4117000000000,9.7,8.3,9460000
1992-04-01,1992,April,255992000,4131500000000,9.9,8.5,9415000
1992-05-01,1992,May,256285000,4158399999999.9995,9.9,8.8,9744000
1992-06-01,1992,June,256589000,4177100000000.0005,10.1,8.7,10040000
1992-07-01,1992,July,256894000,4204800000000,9.6,8.6,9850000
1992-08-01,1992,August,257232000,4220899999999.9995,9.7,8.8,9787000
1992-09-01,1992,September,257548000,4255300000000,8.7,8.6,9781000
1992-10-01,1992,October,257861000,4284700000000,8,9,9398000
1992-11-01,1992,November,258147000,4300500000000,8,9,9565000
1992-12-01,1992,December,258413000,4336399999999.9995,10.6,9.3,9557000
1993-01-01,1993,January,258679000,4340700000000,8.6,8.6,9325000
1993-02-01,1993,February,258919000,4355300000000,8.9,8.5,9183000
1993-03-01,1993,March,259152000,4352500000000,8.9,8.5,9056000
1993-04-01,1993,April,259414000,4393399999999.9995,8.7,8.4,9110000
1993-05-01,1993,May,259680000,4422400000000,8.3,8.1,9149000
1993-06-01,1993,June,259963000,4440000000000,7.8,8.3,9121000
1993-07-01,1993,July,260255000,4468900000000,7.6,8.2,8930000
1993-08-01,1993,August,260566000,4481100000000,7.7,8.2,8763000
1993-09-01,1993,September,260867000,4511500000000,6.9,8.3,8714000
1993-10-01,1993,October,261163000,4532800000000,6.3,8,8750000
1993-11-01,1993,November,261425000,4554100000000,6.3,8.3,8542000
1993-12-01,1993,December,261674000,4571100000000,9.1,8.3,8477000
1994-01-01,1994,January,261919000,4585100000000,7.1,8.6,8630000
1994-02-01,1994,February,262123000,4632600000000,6.5,9.2,8583000
1994-03-01,1994,March,262352000,4646000000000,6.8,9.3,8470000
1994-04-01,1994,April,262631000,4671100000000,6.4,9.1,8331000
1994-05-01,1994,May,262877000,4669500000000,7.6,9.2,7915000
1994-06-01,1994,June,263152000,4708900000000,6.9,9.3,7927000
1994-07-01,1994,July,263436000,4720600000000,7,9,7946000
1994-08-01,1994,August,263724000,4762600000000,6.5,8.9,7933000
1994-09-01,1994,September,264017000,4775000000000,6.8,9.2,7734000
1994-10-01,1994,October,264301000,4812900000000,7.1,10,7632000
1994-11-01,1994,November,264559000,4825600000000,7,9,7375000
1994-12-01,1994,December,264804000,4841600000000,7.2,8.7,7230000
1995-01-01,1995,January,265044000,4851200000000,7.5,8,7375000
1995-02-01,1995,February,265270000,4850800000000,7.8,8.1,7187000
1995-03-01,1995,March,265495000,4885400000000,7.5,8.3,7153000
1995-04-01,1995,April,265755000,4890200000000,6.9,8.3,7645000
1995-05-01,1995,May,265998000,4933100000000,7.1,9.1,7430000
1995-06-01,1995,June,266270000,4977500000000,6.7,7.9,7427000
1995-07-01,1995,July,266557000,4970200000000,7.1,8.5,7527000
1995-08-01,1995,August,266843000,5005300000000,6.7,8.3,7484000
1995-09-01,1995,September,267152000,5020500000000,6.8,7.9,7478000
1995-10-01,1995,October,267456000,5013900000000,7.1,8.2,7328000
1995-11-01,1995,November,267715000,5055600000000,6.6,8,7426000
1995-12-01,1995,December,267943000,5097500000000,6.1,8.3,7423000
1996-01-01,1996,January,268151000,5085700000000,6.7,8.3,7491000
1996-02-01,1996,February,268364000,5132800000000,6.7,7.8,7313000
1996-03-01,1996,March,268595000,5173300000000,6.6,8.3,7318000
1996-04-01,1996,April,268853000,5208000000000,5.7,8.6,7415000
1996-05-01,1996,May,269108000,5223800000000,6.7,8.6,7423000
1996-06-01,1996,June,269386000,5229800000000,7.1,8.3,7095000
1996-07-01,1996,July,269667000,5251900000000,6.7,8.3,7337000
1996-08-01,1996,August,269976000,5275000000000,6.6,8.4,6882000
1996-09-01,1996,September,270284000,5296600000000,6.7,8.5,6979000
1996-10-01,1996,October,270581000,5328500000000,6.4,8.3,7031000
1996-11-01,1996,November,270878000,5351200000000,6.4,7.7,7236000
1996-12-01,1996,December,271125000,5378600000000,6.4,7.8,7253000
1997-01-01,1997,January,271360000,5411100000000,6.2,7.8,7158000
1997-02-01,1997,February,271585000,5434000000000,6.2,8.1,7102000
1997-03-01,1997,March,271821000,5454200000000,6.4,7.9,7000000
1997-04-01,1997,April,272083000,5459300000000,6.5,8.3,6873000
1997-05-01,1997,May,272342000,5460200000000,6.8,8,6655000
1997-06-01,1997,June,272622000,5494200000000,6.6,8,6799000
1997-07-01,1997,July,272912000,5548800000000,6.1,8.3,6655000
1997-08-01,1997,August,273237000,5587000000000,6,7.8,6608000
1997-09-01,1997,September,273553000,5601700000000,6.2,8.2,6656000
1997-10-01,1997,October,273852000,5637700000000,6.2,7.7,6454000
1997-11-01,1997,November,274126000,5661100000000,6.4,7.6,6308000
1997-12-01,1997,December,274372000,5692100000000,6.4,7.5,6476000
1998-01-01,1998,January,274626000,5689900000000,7.4,7.4,6368000
1998-02-01,1998,February,274838000,5723800000000,7.4,7,6306000
1998-03-01,1998,March,275047000,5750300000000,7.5,6.8,6422000
1998-04-01,1998,April,275304000,5788100000000,7.2,6.7,5941000
1998-05-01,1998,May,275564000,5837900000000,6.9,6,6047000
1998-06-01,1998,June,275836000,5871700000000,6.8,6.9,6212000
1998-07-01,1998,July,276115000,5890000000000,6.9,6.7,6259000
1998-08-01,1998,August,276418000,5925000000000,6.8,6.8,6179000
1998-09-01,1998,September,276714000,5965600000000,6.4,6.7,6300000
1998-10-01,1998,October,277003000,5998800000000,6.2,5.8,6280000
1998-11-01,1998,November,277277000,6015400000000,6.3,6.6,6100000
1998-12-01,1998,December,277526000,6070500000000,5.8,6.8,6032000
1999-01-01,1999,January,277790000,6072900000000,6.4,6.9,5976000
1999-02-01,1999,February,277992000,6101800000000,6.2,6.8,6111000
1999-03-01,1999,March,278198000,6132900000000,5.9,6.8,5783000
1999-04-01,1999,April,278451000,6196200000000,5.2,6.2,6004000
1999-05-01,1999,May,278717000,6225700000000,4.9,6.5,5796000
1999-06-01,1999,June,279001000,6254000000000,4.8,6.3,5951000
1999-07-01,1999,July,279295000,6281500000000,4.8,5.8,6025000
1999-08-01,1999,August,279602000,6326500000000,4.7,6.5,5838000
1999-09-01,1999,September,279903000,6378800000000,4.2,6,5915000
1999-10-01,1999,October,280203000,6402100000000,4.6,6.1,5778000
1999-11-01,1999,November,280471000,6437900000000,4.8,6.2,5716000
1999-12-01,1999,December,280716000,6538700000000,4.4,5.8,5653000
2000-01-01,2000,January,280976000,6535300000000,5.4,5.8,5708000
2000-02-01,2000,February,281190000,6619700000000,4.8,6.1,5858000
2000-03-01,2000,March,281409000,6685800000000,4.5,6,5733000
2000-04-01,2000,April,281653000,6671100000000,5,6.1,5481000
2000-05-01,2000,May,281877000,6707600000000,4.9,5.8,5758000
2000-06-01,2000,June,282126000,6743900000000,4.9,5.7,5651000
2000-07-01,2000,July,282385000,6764100000000,5.2,6,5747000
2000-08-01,2000,August,282653000,6799100000000,5.2,6.3,5853000
2000-09-01,2000,September,282932000,6882900000000,4.5,5.2,5625000
2000-10-01,2000,October,283201000,6888200000000,4.6,6.1,5534000
2000-11-01,2000,November,283453000,6902400000000,4.5,6.1,5639000
2000-12-01,2000,December,283696000,6945700000000,4.2,6,5634000
2001-01-01,2001,January,283920000,6977000000000,4.8,5.8,6023000
2001-02-01,2001,February,284137000,6995800000000,4.9,6.1,6089000
2001-03-01,2001,March,284350000,6987900000000,5.3,6.6,6141000
2001-04-01,2001,April,284581000,7001200000000,5,5.9,6271000
2001-05-01,2001,May,284810000,7047100000000,4.5,6.3,6226000
2001-06-01,2001,June,285062000,7060700000000,4.5,6,6484000
2001-07-01,2001,July,285309000,7072200000000,5.6,6.8,6583000
2001-08-01,2001,August,285570000,7108900000000,6.8,6.9,7042000
2001-09-01,2001,September,285843000,7012800000000,7,7.2,7142000
2001-10-01,2001,October,286098000,7208400000000,3.4,7.3,7694000
2001-11-01,2001,November,286341000,7167900000000,4.1,7.7,8003000
2001-12-01,2001,December,286570000,7147700000000,4.5,8.2,8258000
